Libéllé Département;Nom Famille;Code Produit;Code Coloris;Nom Produit;E-COMMERCE AXE 1;E-COMMERCE AXE 2;E-COMMERCE AXE 3;E-COMMERCE AXE 4;Marque;Theme;Libellé Court
FEMME;CHEMISIER MC                  ;77230074;01;* MIXBOITE;;;;;AFFINITES;PONDICHERY;TUNIQUE MIX D'IMPRIMES
FEMME;PANTALON ETE                  ;77430013;10;TIPEESAT;;;;;AFFINITES;PASHMINA;PANTALON DETENTE AVEC CEINTURE
FEMME;PANTALON ETE                  ;77430061;40;LEA PONT;;;;;AFFINITES;ROMANTIC DENIM;PANTACOURT DETENTE
FEMME;PANTALON ETE                  ;77430071;41;SHORTTREG;;;;;AFFINITES;KILIM;SHORT DETENTE
FEMME;CEINTURE                      ;77510003;01;TRESSEE;;;;;AFFINITES;;CEINTURE TRESSEE
FEMME;CEINTURE                      ;77510014;10;PICOTI;;;;;AFFINITES;;CEINTURE CHAINETTES
FEMME;CEINTURE                      ;77510017;13;LASER;;;;;AFFINITES;;Ceinture large
FEMME;BIJOUTERIE                    ;77529007;90;IPAFOLK;;;;;AT FEMME;;COLLIER PERLES DE VERRE
FEMME;BIJOUTERIE                    ;77529008;14;YFLEUR;;;;;AT FEMME;;COLLIER METAL
FEMME;FOULARD ECHARPE               ;77530039;64;CERESEQUIN;;;;;AFFINITES;;ETOLE EN SOIE
FEMME;IMPERMEABLE                   ;76510006;23;HOOK BICOLORE;;;;;AFFINITES;PONDICHERY;IMPER MI-LONG FANTAISIE
FEMME;T SHIRT ML;77120005;33;FROIS/CAMOU;;;;;AFFINITES;FOLK ARMY;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC                    ;77130016;41;DEV/MONARQUE;;;;;AFFINITES;PONDICHERY;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC                    ;77130017;12;DEV/ANEMONE;;;;;AFFINITES;MONSOON;TEE SHIRT FANTAISIE
FEMME;T SHIRT MC                    ;77130021;01;GIRLY;;;;;AFFINITES;NAVY POP;TEE SHIRT FANTAISIE
FEMME;TS BASIC;77160006;26;* DEBBOUTONS;;;;;AFFINITES;BASI;DEBARDEUR UNI
FEMME;JUPE VILLE                    ;77319004;41;DENTELETOILE;;;;;AT FEMME;PONDICHERY;JUPE UNIE VILLE
FEMME;PANTALON ETE                  ;77430049;41;* TRIPLCOATED;;;;;AFFINITES;PONDICHERY;PANTALON DETENTE
FEMME;PANTALON ETE                  ;77430057;12;BENGALIZE;;;;;AFFINITES;NAVY POP;TREGGING 7/8 EN BENGALINE
FEMME;FOULARD ECHARPE               ;77530002;40;EICHER;;;;;AFFINITES;;FOULARD IMPRIME
FEMME;IMPERMEABLE                   ;76510007;13;TRESSE;;;;;AFFINITES;MONSOON;IMPER LONG UNI
FEMME;JUPE VILLE                    ;77310019;62;*J4ZIPS;;;;;AFFINITES;PONDICHERY;JUPE 4 ZIPS
FEMME;PANTALON ETE                  ;77430017;33;CHINO STUDS;;;;;AFFINITES;FOLK ARMY;PANTALON CHINO AVEC CEINTURE CLOUS
FEMME;BIJOUTERIE                    ;77520010;34;MONSOSTRASS;;;;;AFFINITES;;COLLIER EMAIL
FEMME;BIJOUTERIE                    ;77520047;23;SHELL;;;;;AFFINITES;;COLLIER EMAIL
FEMME;BIJOUTERIE                    ;77529019;14;DENTELLE;;;;;AT FEMME;;COLLIER EFFET DENTELLE
FEMME;FOULARD ECHARPE               ;77530020;10;PAPILLON BRODE;;;;;AFFINITES;;FOULARD IMPRIME
FEMME;T SHIRT MC;77140013;40;FLAM/LIBERTY;;;;;AFFINITES;PIONNIER;TEE SHIRT FANTAISIE
FEMME;BIJOUTERIE                    ;77529014;65;BO/STRASS;;;;;AT FEMME;;BO METAL
FEMME;FOULARD ECHARPE               ;77530035;65;PAPFLOC;;;;;AFFINITES;;FOULARD UNI FANTAISIE
FEMME;ACCESSOIRE AUTRE              ;77709012;10;ST/PERLE;;;;;AT FEMME;;BANDE AVEC PERLES
FEMME;FOULARD ECHARPE               ;77530014;13;PAPSTRASS;;;;;AFFINITES;;FOULARD STRASS
FEMME;FOULARD ECHARPE               ;77530034;03;LEGERE;;;;;AFFINITES;;ETOLE DENTELLE
FEMME;FOULARD ECHARPE               ;77539013;40;TRIFRANGE;;;;;AT FEMME;;FOULARD TRIANGLE
FEMME;ACCESSOIRE AUTRE              ;77700003;14;PC/HIBOU;;;;;AFFINITES;;porte clés
FEMME;FOULARD ECHARPE               ;77530044;26;CEREBELLA;;;;;AFFINITES;;ETOLE TISSEE
FEMME;FOULARD ECHARPE               ;77539007;03;SHINY;;;;;AT FEMME;;FOULARD UNI
FEMME;ACCESSOIRE AUTRE              ;77700001;14;PC/POUPEE;;;;;AFFINITES;;PORTE CLE
FEMME;ACCESSOIRE AUTRE              ;77709015;14;PC/TIGRE;;;;;AT FEMME;;PORTE CLE FANTAISIE
HOMME;VESTE SEP EXE;71014004;40;DARCY A 2BTS;Coupe ajustée 2 boutons;Poches rabat;Parmenture piano;Doublure intérieure changeante;EXECUTIVE;;Veste DARCY
HOMME;PANT SEP EXE;71054007;20;MOKY A PIT;Forme Poches italiennes;Coupe ajustée;Tissu Faux-Uni;Doublure intérieure unie;EXECUTIVE;;Pantalon MOKY
HOMME;PANT SEP EXE;71054008;10;BARY A PIT;Forme Poches italiennes;Coupe ajustée;Tissu uni;Doublure intérieure unie;EXECUTIVE;;Pantalon BARY
HOMME;SEPARABLE VESTE      ;71075003;11;PRADO A 2 BTS;Coupe ajustée 2 boutons;Poches rabat;Parmenture droite;Doublure intérieure changeante;PER L UOMO;;VESTE PRADO
HOMME;VESTE SEULE;71235005;20;QUARDI A 2 BTS;Coupe ajustée;Fermeture 2 boutons;Poches rabat;Col cranté;PER L UOMO;;veste QUARDI
HOMME;PANTALON CLASSIQUE            ;72035002;23;PIT PL/CO;Forme Poches italiennes;Coupe confort;Tissu Twill;;PER L UOMO;;PANTALON-PIT PL/CO
HOMME;PANTALON  MODE ;72076003;20;PCAV CLASSE;Forme poches cavalières ;Coupe ajustée;Tissu Faux-Uni;;STUDIO;;PANTALON-PCAV CLASSE
HOMME;PANTALON  MODE ;72076004;10;PCAV DOUCHO;Forme poches cavalières ;Coupe ajustée;Tissu Faux-Uni;;STUDIO;;PANTALON-PCAV DOUCHO
HOMME;PANTALON  MODE ;72076005;20;5P BICO;Forme 5 poches;Coupe ajustée;Tissu façonné;;STUDIO;;PANTALON-5P BICO
HOMME;PANTALON  MODE ;72076006;11;5P ALVO;Forme 5 poches;Coupe ajustée;Tissu façonné;;STUDIO;;PANTALON-5P ALVO
HOMME;PANTALON  MODE ;72076009;13;5P LADER ;Forme 5 poches;Coupe ajustée;Tissu rayé;;STUDIO;;PANTALON-5P LADER 
HOMME;PANTALON  MODE ;72076011;13;PCAV PDG ;Forme poches cavalières ;Coupe ajustée;Tissu rayé;;STUDIO;;PANTALON-PCAV PDG 
HOMME;5 POCHES;72138003;13;5P CRINKS;Forme 5 poches;Coupe casual;Tissu façonné;;AT COMPANY;PINK;PANTALON-5P CRINKS
HOMME;5 POCHES;72138005;20;5P PERFECT ;Forme 5 poches;Coupe casual;Tissu façonné;;AT COMPANY;STEPPE;PANTALON-5P PERFECT 
HOMME;JEANS DENIM ;72157009;40;D34 SHINY;Coupe straight;Délavage : brut;Fermeture zippée;Longueur 34;AT JEANS;;JEANS- D34 SHINY
HOMME;JEANS DENIM ;72157017;12;D34 GRISY ;"Coupe droite ""regular""";Délavage : Used;Fermeture zippée;Longueur 34;AT JEANS;;JEANS-D34 GRISY
HOMME;BERMUDA                       ;72318001;12;BM CAROWFLOW;Mi-genou;Tissu imprimé;;;AT COMPANY;;BERMUDA CAROFLOW 
HOMME;BERMUDA                       ;72318007;63;BM WASH ;Mi-genou;Tissu uni;;;AT COMPANY;;BERMUDA WASH
HOMME;BLOUSONS;72408002;11;BL RAYSLED;Double fermeture;Toile;Col droit simple;"Bas droit; poignets droits";AT COMPANY;CANYON;BLOUSON RAYSLED
HOMME;BLOUSONS;72408004;35;BL NEW MEY;Double fermeture;Tissu façonné;Col droit simple;"Bas droit; poignets droits";AT COMPANY;CANYON;BLOUSON NEW MEY
HOMME;BLOUSONS;72408005;03;BL DEVY;Double fermeture;Tissu façonné;Col droit simple;"Bas droit; poignets droits";AT COMPANY;CANYON;BLOUSON DEVY
HOMME;BLOUSONS;72408006;10;BL CANEVAS;Fermeture zippée;Tissu façonné;Col droit simple;"Bas droit; poignets droits";AT COMPANY;PINK;BLOUSON CANEVAS
HOMME;BLOUSONS;72408007;41;BL EXPLORER;Fermeture zippée;Toile;Col chemise;"Bas droit; poignets droits";AT COMPANY;PINK;BLOUSON EXPLORER
HOMME;CHEMISE ML VILLE    ;73034006;45;MINICHEVRON CI;Coupe confort;Col italien;Manches longues;Tissu faux-uni;EXECUTIVE;;CHEMISE MINI CHEVRON 
